Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,R4,3r9,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf,Vishay,CRCW04023R90JNED,71-CRCW0402J-3.9-E3,Mouser,
,,R5,560,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C237-1100991.pdf,Panasonic,ERA-2AEB561X,667-ERA-2AEB561X,Mouser,
,,R6,270,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C237-1100991.pdf,Panasonic,ERA-2AEB271X,667-ERA-2AEB271X,Mouser,
,,R7,10k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf,Vishay,CRCW040210K0FKED,71-CRCW0402-10K-E3,Mouser,
,,R8,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R9,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R10,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R11,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R12,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
,,R13,1k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/315/AOA0000C291-1101061.pdf,Panasonic,ERJ-PA2D1001X,667-ERJ-PA2D1001X,Mouser,
